                   frame  Start Frame
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation18 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation9 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation19 (CHOP:select)
    0.000 ms       misc   Checking for new channels in 0 channel CHOP: /project1/Send/elbow_l_Rotation17 (CHOP:select)
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.000 ms       misc   Process Value Changes
    0.005 ms  2096 cook  Chain Start  /ui/dialogs/mainmenu/startstop/button/override (CHOP:select)
    0.003 ms  2096 cook    /ui/dialogs/mainmenu/startstop/button/in1 (CHOP:in)
    0.003 ms  2096 cook     /ui/dialogs/mainmenu/startstop/in1 (CHOP:in)
    0.005 ms  2096 cook      /ui/dialogs/mainmenu/select1 (CHOP:select)
    0.004 ms  2096 cook  Chain Start  /ui/dialogs/keyframer/timeline/timebar (CHOP:select)
    0.009 ms  2096 cook    /ui/dialogs/keyframer/timeline/mode (CHOP:switch)
    0.009 ms  2096 cook     /ui/dialogs/keyframer/timeline/timebar1 (CHOP:select)
    0.003 ms  2097 cook      /ui/dialogs/timeline/finalindex (CHOP:null)
    0.004 ms  2097 cook       /ui/dialogs/timeline/replace1 (CHOP:replace)
    0.008 ms  2097 cook        /ui/dialogs/timeline/getframe (CHOP:select)
    0.018 ms  2097 cook  Chain Start  /ui/dialogs/palette/palette/list/text/scrollbar (COMP:container)
    0.034 ms       panel   Update Panel /ui/dialogs/palette/palette/list/text/scrollbar (COMP:container)
    0.006 ms  2097 cook     /ui/dialogs/palette/palette/list/text/text/null1 (CHOP:null)
    0.007 ms  2097 cook      /ui/dialogs/palette/palette/list/text/text/constant1 (CHOP:constant)
    0.010 ms  2095 cook  Chain Start  /project1/Send/chopto1 (DAT:chopto)
    0.069 ms  2095 cook  Chain Start  /project1/Send/select1_ALL (CHOP:select)
    0.006 ms  2095 cook  Chain Start  /project1/Send/merge24 (CHOP:merge)
